,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,busselton,-33.65,115.3333,61.93,71,100,4.27,AU,1666514489
1,kavaratti,10.5669,72.642,81.91,72,24,1.1,IN,1666514491
2,ancud,-41.8697,-73.8203,44.1,81,75,10.42,CL,1666514491
3,bethel,41.3712,-73.414,53.65,84,75,0.0,US,1666514202
4,barrow,71.2906,-156.7887,24.82,93,100,21.85,US,1666514494
5,gujar khan,33.2558,73.3026,81.63,21,0,2.15,PK,1666514495
6,broken hill,-31.95,141.4333,61.97,80,100,7.92,AU,1666514497
7,mahebourg,-20.4081,57.7,79.09,69,75,13.8,MU,1666514498
8,mount isa,-20.7333,139.5,95.16,15,32,8.75,AU,1666514499
9,georgetown,5.4112,100.3354,87.73,68,20,7.0,MY,1666514273
10,atuona,-9.8,-139.0333,76.44,73,6,17.31,PF,1666514502
11,nikolskoye,59.7035,30.7861,41.92,78,99,7.47,RU,1666514502
12,bluff,-46.6,168.3333,56.8,63,100,18.68,NZ,1666514503
13,rikitea,-23.1203,-134.9692,71.94,82,100,14.9,PF,1666514504
14,albany,42.6001,-73.9662,45.18,79,100,2.21,US,1666514506
15,puerto ayora,-0.7393,-90.3518,66.54,91,99,5.99,EC,1666514507
16,port elizabeth,-33.918,25.5701,76.1,73,0,8.05,ZA,1666514508
17,east london,-33.0153,27.9116,74.34,60,0,13.8,ZA,1666514365
18,lavrentiya,65.5833,-171.0,30.02,80,26,6.35,RU,1666514509
19,ushuaia,-54.8,-68.3,44.26,76,100,3.44,AR,1666514402
20,lebu,-37.6167,-73.65,45.5,84,62,1.97,CL,1666514510
21,am timan,11.0297,20.2827,90.36,25,15,10.02,TD,1666514511
22,port alfred,-33.5906,26.891,70.18,77,19,8.01,ZA,1666514512
23,muravlenko,63.7898,74.523,31.57,66,98,21.36,RU,1666514513
24,khatanga,71.9667,102.5,22.8,96,100,9.01,RU,1666514514
25,hithadhoo,-0.6,73.0833,81.07,76,74,7.81,MV,1666514515
26,ulaanbaatar,47.9077,106.8832,53.73,24,0,6.71,MN,1666514280
27,kavieng,-2.5744,150.7967,82.42,66,81,3.91,PG,1666514517
28,hobart,-42.8794,147.3294,52.27,67,75,13.8,AU,1666514518
29,port hedland,-20.3167,118.5667,86.05,48,3,21.85,AU,1666514518
30,port said,31.2565,32.2841,73.38,78,0,6.91,EG,1666514519
31,saint-augustin,51.226,-58.6502,45.99,80,89,9.15,CA,1666514520
32,taltal,-25.4,-70.4833,57.94,75,1,3.4,CL,1666514521
33,avarua,-21.2078,-159.775,75.25,100,75,6.91,CK,1666514522
34,chokurdakh,70.6333,147.9167,10.33,94,100,11.5,RU,1666514523
35,cherskiy,68.75,161.3,12.34,95,100,11.01,RU,1666514524
36,naze,28.3667,129.4833,72.52,84,100,21.03,JP,1666514525
37,faanui,-16.4833,-151.75,78.93,75,15,11.95,PF,1666514526
38,the valley,18.217,-63.0578,80.82,71,4,8.19,AI,1666514527
39,bredasdorp,-34.5322,20.0403,73.72,59,84,16.73,ZA,1666514528
40,yellowknife,62.456,-114.3525,18.12,93,0,3.44,CA,1666514529
41,castro,-24.7911,-50.0119,55.22,96,84,3.8,BR,1666514530
42,faya,18.3851,42.4509,72.12,16,0,3.2,SA,1666514531
43,bambous virieux,-20.3428,57.7575,79.05,69,75,13.8,MU,1666514532
44,hilo,19.7297,-155.09,73.62,78,40,8.05,US,1666514533
45,villa altagracia,18.673,-70.171,76.12,95,56,2.39,DO,1666514535
46,punta arenas,-53.15,-70.9167,42.91,87,75,12.66,CL,1666514536
47,torbay,47.6666,-52.7314,49.75,93,0,18.41,CA,1666514537
48,khandyga,62.6667,135.6,-1.26,99,78,2.59,RU,1666514538
49,guaramirim,-26.4731,-49.0028,65.93,98,99,0.4,BR,1666514259
50,katsuura,35.1333,140.3,67.93,71,7,3.71,JP,1666514540
51,kawalu,-7.3817,108.2082,79.34,83,99,3.96,ID,1666514540
52,araouane,18.9048,-3.5265,84.49,13,96,17.58,ML,1666514542
53,gat,31.61,34.7642,81.39,16,79,6.87,IL,1666514249
54,pathein,16.7833,94.7333,82.08,83,90,13.6,MM,1666514543
55,lagodekhi,41.8268,46.2767,56.3,49,18,5.28,GE,1666514544
56,treinta y tres,-33.2333,-54.3833,53.83,92,100,15.23,UY,1666514545
57,salinopolis,-0.6136,-47.3561,79.75,78,39,12.57,BR,1666514546
58,norman wells,65.282,-126.8329,23.04,86,100,3.44,CA,1666514547
59,rudnogorsk,57.2639,103.7519,45.32,69,100,6.33,RU,1666514548
60,new norfolk,-42.7826,147.0587,51.93,73,100,1.99,AU,1666514549
61,nome,64.5011,-165.4064,37.47,76,100,17.27,US,1666514550
62,hermanus,-34.4187,19.2345,71.8,66,100,13.04,ZA,1666514551
63,thompson,55.7435,-97.8558,32.16,86,75,5.75,CA,1666514552
64,diu,20.7141,70.9822,87.51,41,0,13.35,IN,1666514553
65,jamestown,42.097,-79.2353,58.59,63,0,8.05,US,1666514503
66,chuy,-33.6971,-53.4616,57.2,92,62,15.75,UY,1666514554
67,airai,-8.9266,125.4092,69.24,74,64,1.99,TL,1666514555
68,borogontsy,62.6683,131.1683,13.55,98,100,2.95,RU,1666514556
69,anchorage,61.2181,-149.9003,34.2,84,0,10.36,US,1666514395
70,ponta do sol,32.6667,-17.1,70.43,71,93,3.69,PT,1666514558
71,qaqortoq,60.7167,-46.0333,35.44,94,100,7.2,GL,1666514559
72,cape town,-33.9258,18.4232,78.12,53,0,20.71,ZA,1666514400
73,yuanping,38.7153,112.7575,61.05,19,0,2.8,CN,1666514561
74,rorvik,64.8621,11.2373,39.18,93,96,0.0,NO,1666514562
75,puerto del rosario,28.5004,-13.8627,73.15,83,20,9.22,ES,1666514562
